event_id,index_to_drop,city_id,event_name,category_id,event_description,latitude,longitude,date,event_price
111,1,1,Jakarta Bird Land Ancol,1,"Jakarta Bird Land adalah taman bermain sekaligus tempat konservasi yang memiliki berbagai jenis spesies burung di Indonesia maupun mancanegara dimana keluarga Indonesia dapat memperoleh edukasi, interaksi hingga pengalaman baru dengan berbagai jenis spesies burung. Jakarta Bird Land menawarkan berbagai interaksi mulai dari Bird Feeding, Direct Touch, dsb hingga interaksi baru seperti Free Range Bird, Lake For Show, Waterfall, Escalator hingga Thematic Hardscape yang tidak ada di taman burung manapun di Indonesia. Selain menjadi taman wisata edukasi, Jakarta Bird Land juga menjadi pusat konservasi yang menyelamatkan berbagai spesies burung yang terancam punah melalui pusat Breeding & Research yang fokus dalam merawat spesies-spesies burung di Indonesia & Mancanegara.",-6.1266245,106.8431539,Everyday,56160
122,2,1,Magic Art 3D Museum Jakarta,2,"Step into a realm where art comes to life at the Magic Art 3D Museum Jakarta. Marvel at mind-bending optical illusions and interact with larger-than-life 3D paintings. This immersive experience promises a day filled with laughter, 2, and Instagram-worthy moments.",-6.1359480,106.8121314,Everyday,54000
113,3,1,Sea World Ancol,1,"Dive into the depths of the ocean without leaving Jakarta at Sea World Ancol. Encounter fascinating marine life, from graceful sharks to playful dolphins. Educational and entertaining, Sea World offers a captivating journey through the wonders of the underwater world.",-6.1257784,106.8428327,Everyday,67900
114,4,1,Samudra Ancol,1,Experience the magic of marine life with a visit to Samudra Ancol. Enjoy captivating dolphin and sea lion shows that showcase the intelligence and agility of these incredible creatures. It's a family-friendly destination that combines education with entertainment.,-6.1250180,106.8436004,Everyday,55000
115,5,1,Dufan Ancol,1,"For a day of thrilling 1s, head to Dufan Ancol, Jakarta's beloved amusement park. With a mix of exhilarating rides, entertaining shows, and delicious treats, Dufan promises a fun-filled escape for visitors of all ages.",-6.1253124,106.8335377,Everyday,199500
116,6,1,Taman Mini Indonesia Indah (TMII),1,"Discover the rich cultural tapestry of Indonesia at Taman Mini Indonesia Indah (TMII). This expansive park features miniature replicas of the country's diverse regions, cultural performances, and interactive exhibits, providing a comprehensive journey through Indonesia's heritage.",-6.3020386,106.8898924,Everyday,25000
117,7,1,Atlantis Ancol,1,"Escape to the tropical paradise of Atlantis Ancol, a water-themed attraction offering a variety of slides, pools, and water-based activities. Perfect for a refreshing day out with family and friends.",-6.1241900,106.8391340,Everyday,52250
118,8,1,The Wave Pondok Indah Waterpark,1,"Make a splash at The Wave Pondok Indah Waterpark, a haven of water-based excitement and relaxation. From thrilling slides to lazy rivers, this waterpark caters to both adrenaline seekers and those looking for a leisurely day in the sun.",-6.2677295,106.7843933,Everyday,90000
119,9,1,Gondola Ancol Tickets,1,Embark on a scenic journey with Gondola Ancol Tickets. Glide over the enchanting landscapes of Ancol while enjoying breathtaking views from the comfort of a gondola.,-6.1255410,106.8412451,Everyday,57000
1110,10,1,Trans Studio Cibubur,1,"Indulge in a world of entertainment at Trans Studio Cibubur. With its mix of thrilling rides, live shows, and themed zones, this indoor theme park promises an unforgettable experience for visitors of all ages.",-6.3756707,106.9019455,Everyday,235000
